Time (min),Heat ,Hydrolsol (mL),Essential Oil (uL) 
0,100,0,0
5,100,0,0
10,100,30,0
15,100,50,0
20,100,100,250
25,100,100,250
30,100,100,250
35,100,100,250
40,100,100,250
45,100,100,250
50,95,100,250
55,95,100,250
60,90,100,250
65,90,100,250
70,85,100,250
75,85,100,250
80,80,100,250
85,80,100,250
90,75,100,250
95,70,100,250
100,65,100,250
105,60,100,250
110,55,100,250
115,50,100,250
120,45,100,250
125,45,100,250
130,45,100,250
135,40,100,250
140,40,100,250
145,35,100,250
150,35,95,250
155,30,95,150
160,30,95,150
165,25,95,150
170,25,95,150
175,20,80,110
180,15,80,110
